order_id,product_id,quantity,selling_price
1,16,3,10921.00
2,20,4,572.00
2,16,5,11209.00
2,20,3,529.00
3,16,3,11045.00
3,4,4,11389.00
4,3,2,2046.00
5,12,2,5912.00
5,1,1,8518.00
5,20,4,1551.00
5,12,5,7086.00
6,14,5,11976.00
7,14,4,11499.00
7,14,3,11991.00
8,15,1,8436.00
8,19,4,6463.00
9,18,5,4417.00
9,13,1,6663.00
10,4,1,10966.00
10,3,4,1571.00
10,13,5,7391.00
11,2,4,8598.00
11,10,1,1244.00
12,14,1,11089.00
12,4,3,10805.00
13,5,2,2195.00
13,5,3,2783.00
14,13,5,7630.00
14,7,2,11166.00
15,1,3,8590.00
15,3,2,2257.00
15,7,5,10194.00
15,12,2,6698.00
16,11,1,10863.00
17,1,1,9244.00
17,20,5,1069.00
17,17,5,3874.00
17,19,1,6363.00
18,3,3,1955.00
18,20,1,1113.00
19,19,2,5201.00
19,20,1,1229.00
19,3,4,1945.00
20,19,1,5863.00
20,10,5,520.00
20,7,1,10382.00
20,1,3,9196.00
21,6,1,2184.00
21,16,4,10552.00
21,16,3,10905.00
21,4,5,11217.00
22,16,2,10830.00
22,12,4,6464.00
22,17,4,4050.00
23,19,3,5532.00
23,12,2,6276.00
23,12,1,7051.00
23,11,3,11744.00
24,10,1,808.00
24,8,2,7247.00
24,10,5,627.00
25,1,1,8395.00
26,19,4,5844.00
27,1,1,8794.00
27,7,5,11255.00
27,6,4,2067.00
28,12,4,5654.00
28,7,2,11039.00
28,12,5,5697.00
28,16,3,10615.00
29,15,5,8954.00
29,7,2,10806.00
30,20,3,307.00
30,15,2,8117.00
31,11,2,11207.00
31,14,4,12141.00
32,10,3,815.00
32,9,2,13214.00
32,13,3,6414.00
33,15,2,8467.00
33,9,3,12799.00
33,18,2,3330.00
33,13,2,6165.00
34,17,1,3447.00
34,2,4,8492.00
34,20,2,1380.00
34,3,1,1598.00
35,2,2,8461.00
35,16,3,10966.00
35,20,2,708.00
36,3,4,1304.00
37,18,3,4620.00
37,15,2,8186.00
38,11,4,11153.00
38,3,1,2010.00
38,4,3,10643.00
39,2,1,8654.00
39,10,5,1476.00
39,18,1,4420.00
40,5,2,2587.00
41,2,1,9043.00
41,12,4,6425.00
41,3,1,2014.00
41,1,2,8416.00
42,15,4,7962.00
43,9,4,12021.00
43,17,1,3318.00
43,5,4,2662.00
43,10,2,1315.00
44,14,4,11250.00
44,2,5,9665.00
44,6,5,2124.00
45,13,3,6553.00
45,2,2,8651.00
45,11,4,11937.00
46,5,1,1920.00
46,20,2,910.00
46,13,3,6187.00
46,5,3,2999.00
47,6,4,2829.00
48,6,3,3137.00
48,4,3,10773.00
48,7,5,10311.00
48,3,5,1051.00
49,15,2,7829.00
49,14,1,11781.00
49,4,3,11633.00
49,6,1,3042.00
50,16,3,10503.00
50,15,5,8032.00
50,14,4,11725.00
50,2,1,9345.00
51,8,3,7170.00
52,18,5,4505.00
52,10,1,1659.00
52,6,5,2081.00
53,12,4,6281.00
53,4,4,10374.00
54,6,2,3553.00
54,10,1,1552.00
54,10,1,831.00
55,14,3,10876.00
55,5,2,3114.00
56,4,5,10961.00
56,10,1,1509.00
57,6,1,3001.00
57,13,5,6328.00
58,1,1,8307.00
58,15,1,7810.00
58,12,1,6493.00
58,1,5,9275.00
59,1,4,8729.00
59,20,1,1363.00
59,17,4,4259.00
59,8,3,6870.00
60,4,5,10357.00
60,14,3,11529.00
61,6,2,2772.00
61,19,4,5253.00
62,2,2,8914.00
62,11,3,12105.00
62,3,1,2185.00
63,13,4,6633.00
63,2,4,8805.00
63,13,5,6980.00
64,1,5,8738.00
64,3,3,1286.00
64,6,5,3418.00
64,19,3,5714.00
65,12,5,6784.00
66,18,2,4562.00
66,8,1,7792.00
66,13,3,7277.00
67,17,1,4458.00
67,2,5,8650.00
68,9,5,12544.00
68,5,1,1932.00
68,2,4,9408.00
68,5,2,3338.00
69,19,1,6036.00
70,9,4,11971.00
70,8,2,7104.00
71,11,1,11046.00
72,8,2,7601.00
72,20,1,190.00
72,13,5,7511.00
73,19,1,6202.00
73,14,1,11563.00
73,16,3,10858.00
73,3,1,2187.00
74,7,4,11526.00
74,3,1,1373.00
74,10,4,886.00
75,16,1,10763.00
76,9,3,12287.00
76,12,5,6899.00
76,3,4,1374.00
76,16,2,11150.00
77,3,4,1973.00
77,7,5,10195.00
78,4,1,11034.00
79,15,4,8962.00
79,2,1,9548.00
79,20,1,923.00
80,8,3,7205.00
80,17,2,4449.00
81,13,5,7183.00
81,14,2,11785.00
81,20,4,1179.00
82,10,3,1185.00
82,15,4,9126.00
83,19,1,6519.00
84,18,1,4624.00
84,14,3,11868.00
84,12,3,6986.00
84,4,4,10593.00
85,16,4,10430.00
85,8,4,8322.00
85,8,3,7189.00
85,8,3,8046.00
86,1,4,8302.00
86,2,2,8380.00
86,6,5,2716.00
86,12,4,6562.00
87,2,2,8457.00
88,18,4,3876.00
88,15,5,8817.00
89,15,1,8032.00
89,2,4,9233.00
89,9,4,12881.00
90,9,4,12215.00
91,3,5,1388.00
92,14,3,11766.00
92,5,1,3245.00
92,13,5,7422.00
92,9,1,12569.00
93,5,4,3038.00
93,16,5,11406.00
93,4,5,11414.00
94,5,3,2894.00
94,8,5,7851.00
95,12,4,6143.00
96,6,5,2794.00
97,11,3,11547.00
97,10,1,1880.00
97,11,4,11927.00
97,13,1,7334.00
98,20,5,182.00
99,15,2,8492.00
99,14,5,11568.00
100,1,1,8879.00
100,16,3,11611.00
100,18,5,3713.00
100,15,2,8708.00
101,15,3,8188.00
101,1,4,8711.00
101,10,3,878.00
102,3,2,1072.00
102,17,1,3288.00
103,15,5,8466.00
104,20,3,1470.00
104,6,3,3388.00
104,8,3,7126.00
105,4,5,11658.00
106,17,1,4331.00
106,17,5,3163.00
107,4,1,10557.00
107,1,5,8238.00
107,9,5,12332.00
108,13,5,6462.00
108,6,3,2069.00
108,5,5,3073.00
108,18,3,3296.00
109,4,5,11118.00
110,9,5,12228.00
110,13,3,6944.00
111,16,4,10660.00
111,8,3,6843.00
111,3,1,1752.00
112,19,2,6551.00
112,9,4,13247.00
112,19,5,6112.00
113,9,4,12537.00
113,19,2,5876.00
113,6,1,2506.00
113,15,4,9029.00
114,20,4,1545.00
114,16,5,10912.00
114,7,3,11537.00
115,16,4,10372.00
115,4,2,11132.00
115,18,4,3621.00
115,19,3,6373.00
116,20,5,990.00
116,5,2,3029.00
116,11,5,11199.00
116,17,2,4567.00
117,1,2,8239.00
117,7,5,11007.00
118,1,4,7955.00
119,10,4,1937.00
119,8,1,7807.00
120,3,2,1108.00
120,11,3,10928.00
121,8,1,7302.00
121,3,5,1782.00
122,3,2,864.00
122,5,1,2793.00
122,5,2,3003.00
123,10,2,647.00
123,17,3,4554.00
123,18,2,4068.00
123,1,1,8599.00
124,4,3,11533.00
124,13,3,7031.00
125,15,5,8389.00
125,12,3,6127.00
125,11,2,10988.00
125,13,4,6487.00
126,13,2,7486.00
126,5,3,1883.00
126,9,3,12792.00
126,14,3,11985.00
127,14,5,12073.00
127,13,1,6602.00
127,14,2,11985.00
127,17,3,3750.00
128,8,5,6969.00
129,4,5,10827.00
130,14,5,11675.00
130,11,5,11570.00
130,9,5,13167.00
131,10,4,830.00
132,16,3,10410.00
132,5,1,2687.00
133,14,1,11628.00
134,20,1,305.00
134,14,4,11696.00
134,20,2,1075.00
134,4,1,11760.00
135,19,5,5397.00
135,20,1,746.00
136,7,2,11502.00
136,4,4,11386.00
136,15,5,7813.00
136,17,3,4442.00
137,14,1,12247.00
138,12,4,5708.00
139,2,5,8868.00
139,10,2,1484.00
139,20,3,1427.00
140,2,2,8795.00
141,8,2,7152.00
142,7,3,10347.00
142,20,4,1603.00
142,18,1,3491.00
143,10,3,624.00
143,18,1,4026.00
143,15,3,8503.00
143,14,3,11648.00
144,15,5,7919.00
145,8,5,7815.00
145,10,3,1910.00
146,13,5,7375.00
146,12,1,5855.00
146,12,4,6596.00
146,11,5,11765.00
147,11,5,11693.00
147,11,5,11876.00
148,7,2,10884.00
148,10,4,522.00
149,17,1,3845.00
149,17,2,3749.00
150,2,5,9480.00
150,15,5,8301.00
150,10,3,1756.00
150,3,4,2015.00
151,11,3,12028.00
152,14,1,11767.00
152,8,4,7672.00
152,16,5,10871.00
153,9,1,12105.00
153,11,2,11251.00
154,15,3,8476.00
154,2,5,8518.00
154,10,2,1548.00
155,17,3,3788.00
155,1,5,9217.00
155,10,4,1769.00
156,5,5,3060.00
156,11,4,10622.00
156,11,4,10965.00
156,17,4,4603.00
157,2,4,9763.00
157,4,5,10384.00
158,10,5,1252.00
158,18,1,4133.00
158,15,5,8223.00
158,20,3,530.00
159,18,1,3480.00
159,20,5,710.00
159,12,3,6704.00
160,4,5,11224.00
161,15,5,7942.00
162,16,2,10856.00
162,10,5,1727.00
163,15,4,8113.00
164,10,1,1969.00
165,1,4,9134.00
165,5,2,2230.00
165,12,1,6216.00
166,9,2,12569.00
166,14,5,11781.00
166,17,2,3645.00
166,18,5,3811.00
167,7,2,11465.00
167,11,4,11660.00
167,5,1,2653.00
167,12,2,6916.00
168,6,4,2789.00
169,10,3,1179.00
169,3,4,1409.00
170,2,3,8750.00
170,3,5,2026.00
171,1,4,9096.00
171,1,2,9054.00
171,1,4,9121.00
171,12,1,5966.00
172,16,1,10536.00
172,18,4,4057.00
172,2,5,8501.00
172,10,1,514.00
173,3,1,2064.00
173,11,5,11572.00
174,5,5,3290.00
175,9,3,12030.00
175,11,2,11244.00
176,6,2,3462.00
176,6,2,3502.00
176,15,3,8120.00
177,6,1,2075.00
177,12,2,5797.00
177,16,5,10679.00
177,18,1,4585.00
178,11,1,12048.00
179,16,2,10798.00
180,13,2,6408.00
180,4,4,11464.00
180,14,1,12214.00
181,3,4,1978.00
182,4,5,10743.00
182,9,5,12362.00
183,19,3,6175.00
183,8,4,7709.00
184,11,4,11014.00
184,8,1,8278.00
184,12,4,5779.00
184,11,2,11712.00
185,19,4,5991.00
185,13,2,6863.00
185,10,2,1428.00
185,4,2,11163.00
186,11,2,11931.00
186,15,3,7880.00
187,19,4,6429.00
187,2,5,8599.00
187,15,3,8659.00
187,9,3,12776.00
188,12,1,6610.00
189,15,5,8333.00
189,1,1,9298.00
189,17,3,4458.00
190,6,4,2950.00
190,14,3,10989.00
190,4,2,11771.00
190,20,4,332.00
191,16,3,10977.00
191,11,2,11317.00
191,1,3,8107.00
191,3,2,1267.00
192,13,2,7566.00
192,5,5,3314.00
192,1,3,9114.00
193,8,2,7073.00
193,1,5,8209.00
193,12,1,5874.00
194,14,2,12130.00
194,12,5,6659.00
194,20,4,1191.00
195,4,5,10410.00
196,8,5,7104.00
197,18,3,3251.00
198,10,1,1842.00
198,9,3,12709.00
199,16,3,10586.00
199,15,3,8739.00
200,16,2,10490.00
200,12,2,6928.00
200,7,3,11375.00
201,19,2,5276.00
201,9,5,11854.00
202,11,4,11614.00
202,7,4,11281.00
202,18,5,3386.00
202,7,1,10955.00
203,17,3,4448.00
203,6,1,2642.00
204,9,3,12149.00
205,13,4,6223.00
205,11,5,11771.00
206,19,3,6495.00
206,18,4,3829.00
206,14,3,11078.00
207,5,4,2837.00
207,15,1,8362.00
207,17,2,3798.00
208,4,3,11205.00
208,13,1,7061.00
208,1,3,8175.00
208,5,2,2744.00
209,1,3,8149.00
209,8,1,8161.00
209,5,2,2651.00
210,4,1,10353.00
211,14,3,11324.00
211,9,3,12485.00
211,19,5,5337.00
211,2,5,8357.00
212,6,3,3530.00
213,1,3,8276.00
213,4,3,11611.00
214,19,5,6568.00
214,8,2,7851.00
215,14,4,11863.00
216,11,1,11166.00
216,20,1,1583.00
217,1,5,8381.00
217,17,1,3243.00
217,10,2,1565.00
218,14,1,11776.00
218,7,5,11398.00
218,8,5,7865.00
219,12,1,6749.00
219,11,3,10775.00
219,5,2,2330.00
219,9,5,11989.00
220,19,1,5212.00
221,15,3,8999.00
221,5,5,2572.00
221,5,4,2959.00
222,17,4,3883.00
222,10,5,1494.00
223,7,3,10398.00
223,13,4,7143.00
223,7,5,10721.00
224,7,3,10186.00
224,19,2,5948.00
224,3,5,1840.00
225,2,5,9506.00
225,4,4,11679.00
225,9,5,12487.00
226,8,2,7438.00
226,9,5,12415.00
227,15,1,8040.00
227,14,4,12260.00
228,17,2,4086.00
229,13,1,7271.00
229,8,2,7554.00
229,11,1,11741.00
229,3,4,1468.00
230,14,5,10990.00
231,16,3,10370.00
231,9,4,12887.00
231,13,4,7254.00
232,18,4,3632.00
232,15,3,8913.00
232,16,4,10459.00
232,7,2,11288.00
233,5,1,2150.00
233,3,3,1896.00
233,4,4,10384.00
234,11,2,10945.00
234,2,5,8763.00
234,18,4,4279.00
234,11,4,10751.00
235,6,1,3165.00
236,18,3,3465.00
237,19,1,5236.00
237,9,1,11952.00
237,16,5,10704.00
238,16,5,11516.00
239,20,4,386.00
239,16,5,11345.00
239,11,3,11544.00
240,12,2,6995.00
240,8,2,8029.00
241,1,5,8314.00
241,2,5,9072.00
242,14,3,11784.00
242,4,2,11295.00
243,10,3,1542.00
243,7,3,11068.00
243,8,1,7497.00
243,4,1,10701.00
244,19,5,5662.00
244,17,5,4051.00
244,16,1,11449.00
245,18,2,3795.00
245,13,4,6724.00
245,8,2,7804.00
246,14,4,11997.00
246,10,4,602.00
247,20,4,495.00
247,13,4,7118.00
