order_id,customer_id,order_date,payment_method,order_status
1,215,06-12-2024,Card,Cancelled
2,894,26-06-2025,Card,Returned
3,254,13-01-2026,Net Banking,Cancelled
4,941,14-05-2025,Net Banking,Shipped
5,767,30-12-2024,Card,Delivered
6,66,04-05-2026,Card,Cancelled
7,253,02-05-2026,UPI,Shipped
8,350,11-08-2025,COD,Cancelled
9,689,17-05-2025,Net Banking,Shipped
10,576,10-02-2025,UPI,Returned
11,665,05-04-2026,Net Banking,Cancelled
12,860,02-05-2026,Net Banking,Cancelled
13,336,01-06-2024,Card,Returned
14,549,10-07-2024,UPI,Cancelled
15,778,13-03-2025,Net Banking,Returned
16,796,15-07-2024,Net Banking,Delivered
17,19,27-11-2024,Net Banking,Delivered
18,640,24-02-2025,UPI,Shipped
19,65,23-12-2025,Card,Delivered
20,136,07-11-2025,COD,Cancelled
21,902,21-05-2025,COD,Cancelled
22,195,08-05-2026,Card,Shipped
23,24,07-05-2025,UPI,Delivered
24,520,09-06-2025,Card,Shipped
25,338,29-09-2025,Card,Cancelled
26,754,11-06-2024,Net Banking,Shipped
27,595,28-01-2025,Card,Delivered
28,433,16-01-2026,UPI,Shipped
29,66,20-10-2024,COD,Delivered
30,147,18-09-2025,Net Banking,Cancelled
31,841,11-02-2026,Card,Cancelled
32,229,06-02-2025,Card,Cancelled
33,88,30-12-2024,COD,Returned
34,98,26-12-2025,Card,Cancelled
35,5,05-08-2024,COD,Returned
36,940,12-05-2025,COD,Delivered
37,245,12-09-2024,COD,Delivered
38,823,29-07-2024,UPI,Returned
39,81,05-02-2025,Net Banking,Cancelled
40,377,16-05-2025,COD,Shipped
41,881,22-10-2024,Card,Shipped
42,498,06-10-2025,UPI,Delivered
43,802,18-05-2025,UPI,Delivered
44,104,31-08-2025,Net Banking,Shipped
45,202,08-05-2025,UPI,Cancelled
46,986,17-06-2025,COD,Cancelled
47,133,07-09-2024,Card,Returned
48,876,21-12-2025,COD,Delivered
49,955,16-02-2026,Net Banking,Delivered
50,887,10-05-2026,UPI,Returned
51,872,05-07-2025,UPI,Returned
52,421,12-08-2025,Net Banking,Returned
53,126,03-03-2025,Card,Shipped
54,686,25-09-2025,Card,Returned
55,547,19-04-2026,COD,Shipped
56,648,30-09-2025,COD,Cancelled
57,204,31-03-2026,Card,Shipped
58,323,27-05-2024,UPI,Delivered
59,483,27-04-2026,Card,Shipped
60,405,08-07-2024,Card,Shipped
61,317,16-09-2024,COD,Returned
62,685,09-12-2025,UPI,Delivered
63,450,18-03-2026,Card,Cancelled
64,492,03-04-2026,Net Banking,Cancelled
65,991,08-04-2025,Net Banking,Delivered
66,882,24-01-2025,COD,Cancelled
67,822,09-05-2025,Card,Delivered
68,102,24-03-2025,COD,Returned
69,141,29-03-2026,COD,Shipped
70,303,25-03-2026,UPI,Cancelled
71,938,21-12-2024,UPI,Shipped
72,380,28-03-2025,Net Banking,Delivered
73,269,10-12-2024,Card,Returned
74,473,24-04-2026,Card,Shipped
75,73,09-10-2024,Card,Cancelled
76,894,04-08-2025,Card,Returned
77,135,22-09-2025,COD,Cancelled
78,291,09-03-2026,UPI,Shipped
79,366,26-09-2025,Card,Shipped
80,974,24-06-2024,Net Banking,Cancelled
81,8,04-05-2026,COD,Delivered
82,880,14-10-2024,Card,Shipped
83,447,05-07-2024,Card,Returned
84,320,25-08-2025,COD,Delivered
85,744,02-03-2026,Card,Shipped
86,232,11-07-2024,UPI,Delivered
87,374,19-09-2024,COD,Cancelled
88,897,22-10-2024,Net Banking,Delivered
89,199,12-02-2026,Net Banking,Cancelled
90,23,22-06-2024,Card,Delivered
91,149,09-07-2025,Card,Delivered
92,61,05-07-2024,UPI,Cancelled
93,477,15-08-2025,Net Banking,Returned
94,187,28-08-2024,Net Banking,Shipped
95,97,28-12-2024,UPI,Returned
96,218,03-08-2024,Net Banking,Returned
97,762,13-09-2025,UPI,Cancelled
98,178,27-02-2026,Card,Returned
99,805,04-01-2026,Card,Shipped
100,20,23-04-2025,Net Banking,Cancelled
101,322,31-05-2025,Net Banking,Shipped
102,737,23-06-2025,COD,Cancelled
103,822,01-04-2026,UPI,Cancelled
104,822,07-12-2025,Net Banking,Returned
105,902,15-04-2025,UPI,Cancelled
106,381,07-12-2024,UPI,Cancelled
